price,"location.lat","location.long"
"3995.0","37.777136","-122.466154"
"4200.0","37.764296","-122.388849"
"4428.0","37.7621","-122.3971"
"3300.0","37.719292","-122.459194"
"4025.0","37.763048","-122.388738"
"1645.0","37.77493","-122.41942"
"3650.0","37.78446","-122.431183"
"3750.0","37.78446","-122.431183"
"3400.0","37.741829","-122.431001"
"2139.0","37.72715","-122.43681"
"4500.0","37.758539","-122.433666"
"4200.0","37.760933","-122.447625"
"2995.0","37.73746","-122.49855"
"6500.0","37.778585","-122.412157"
"14000.0","37.789369","-122.391858"
"6500.0","37.775837","-122.421126"
"3149.0","37.760198","-122.44621"
"4750.0","37.772189","-122.452437"
"3500.0","37.762198","-122.494228"
"2800.0","37.775667","-122.44827"
"2500.0","37.730238","-122.395244"
"2790.0","37.77621","-122.467239"
"4450.0","37.780265","-122.403387"
"2996.0","37.77493","-122.41942"
"2995.0","37.777185","-122.465068"
"3600.0","37.769706","-122.443657"
"1215.0","37.771689","-122.503473"
"4200.0","37.775261","-122.400409"
"1800.0","37.72992","-122.46642"
"4500.0","37.767078","-122.419106"
"3149.0","37.74916","-122.442599"
"2995.0","37.75986","-122.4148"
"4579.0","37.787836","-122.393396"
"4000.0","37.79457","-122.39994"
"3595.0","37.78594","-122.4907"
"4574.0","37.790996","-122.409715"
"4000.0","37.746171","-122.425724"
"4100.0","37.795475","-122.425632"
"5349.0","37.79252","-122.43823"
"7500.0","37.796575","-122.432016"
"5500.0","37.7621","-122.3971"
"3149.0","37.7587","-122.433"
"6545.0","37.776414","-122.417341"
"3450.0","37.7211","-122.4754"
"2949.0","37.715331","-122.49361"
"3555.0","37.780181","-122.409709"
"5550.0","37.768602","-122.426796"
"2795.0","37.726601","-122.429044"
"2850.0","37.755584","-122.444219"
"5150.0","37.803705","-122.443603"
"1894.0","37.7759","-122.50287"
"4195.0","37.790254","-122.415559"
"3500.0","37.761029","-122.474685"
"4400.0","37.76289","-122.428509"
"3000.0","37.735069","-122.420447"
"1900.0","37.772032","-122.495972"
"4550.0","37.795527","-122.425057"
"2300.0","37.7195","-122.4411"
"2970.0","37.74299","-122.4158"
"1695.0","37.72715","-122.43681"
"2000.0","37.7786","-122.4892"
"4400.0","37.782531","-122.483836"
"3795.0","37.775662","-122.409214"
"4395.0","37.761324","-122.38864"
"7500.0","37.789234","-122.391375"
"3165.0","37.71498","-122.40532"
"2800.0","37.742074","-122.466412"
"3000.0","37.7786","-122.4892"
"4750.0","37.778562","-122.403514"
"3799.0","37.779277","-122.392211"
"5200.0","37.788285","-122.446232"
"5300.0","37.787298","-122.394481"
"5900.0","37.800571","-122.404335"
"6500.0","37.793977","-122.429804"
"3750.0","37.745","-122.4383"
"3675.0","37.79076","-122.426709"
"5800.0","37.77987","-122.46475"
"11000.0","37.7864","-122.3892"
"2700.0","37.763467","-122.479267"
"3995.0","37.769163","-122.4291"
"7950.0","37.802799","-122.420724"
"6000.0","37.789336","-122.390614"
"4435.0","37.776369","-122.419506"
"6300.0","37.785945","-122.392459"
"4950.0","37.7725","-122.4147"
"4450.0","37.781552","-122.432091"
"5500.0","37.790259","-122.444834"
"3200.0","37.78594","-122.4907"
"3600.0","37.770952","-122.446993"
"3995.0","37.754124","-122.4016"
"4500.0","37.786472","-122.393445"
"2950.0","37.771865","-122.439874"
"3600.0","37.785824","-122.458062"
"4500.0","37.784792","-122.478633"
"3900.0","37.75024","-122.4337"
"4400.0","37.7917","-122.4186"
"3700.0","37.790227","-122.408251"
"4500.0","37.787971","-122.430275"
"3795.0","37.79091","-122.42239"
"4500.0","37.7563","-122.4485"
"2400.0","37.747115","-122.487806"
"3550.0","37.716078","-122.473955"
"4200.0","37.752907","-122.407291"
"3700.0","37.7309","-122.3886"
"745.0","37.79145","-122.4074"
"4500.0","37.785012","-122.451017"
"4750.0","37.749147","-122.429604"
"2800.0","37.77768","-122.44685"
"4100.0","37.760851","-122.448959"
"3495.0","37.76613","-122.428819"
"4300.0","37.79065","-122.408886"
"5995.0","37.7989","-122.446103"
"3795.0","37.769782","-122.423551"
"4495.0","37.764693","-122.42295"
"5995.0","37.7989","-122.446082"
"3095.0","37.764574","-122.465372"
"3595.0","37.759265","-122.489722"
"3600.0","37.75024","-122.4337"
"3875.0","37.772303","-122.416428"
"5500.0","37.78594","-122.4907"
"3750.0","37.778607","-122.439752"
"4000.0","37.759975","-122.473652"
"1695.0","37.7759","-122.50287"
"2950.0","37.772434","-122.435429"
"1885.0","37.72715","-122.43681"
"2575.0","37.7759","-122.50287"
"5401.0","37.796322","-122.39851"
"3595.0","37.767475","-122.431641"
"4025.0","37.762786","-122.388727"
"3500.0","37.746766","-122.413532"
"5500.0","37.803724","-122.409847"
"2575.0","37.7759","-122.50287"
"3595.0","37.767509","-122.431598"
"4347.0","37.7694","-122.3867"
"5448.0","37.77408","-122.390142"
"4295.0","37.789952","-122.425616"
"3495.0","37.76613","-122.428819"
"3695.0","37.757959","-122.461767"
"4750.0","37.78067","-122.38814"
"4800.0","37.744085","-122.410368"
"2575.0","37.7759","-122.50287"
"1590.0","37.77493","-122.41942"
"2750.0","37.71498","-122.40532"
"4155.0","37.784944","-122.43473"
"1750.0","37.7759","-122.50287"
"3650.0","37.765097","-122.455466"
"3000.0","37.78594","-122.4907"
"4400.0","37.766361","-122.425004"
"4995.0","37.79252","-122.43823"
"5500.0","37.756249","-122.419942"
"4495.0","37.789952","-122.425616"
"4800.0","37.800104","-122.40424"
"5000.0","37.79804","-122.41514"
"4200.0","37.786715","-122.451777"
"3799.0","37.779761","-122.392816"
"3395.0","37.78631","-122.416449"
"5500.0","37.750426","-122.422392"
"3408.0","37.780181","-122.409709"
"4500.0","37.774821","-122.412947"
"4398.0","37.7694","-122.3867"
"1280.0","37.77493","-122.41942"
"3995.0","37.776408","-122.426701"
"4700.0","37.803761","-122.413223"
"5300.0","37.784917","-122.397496"
"4195.0","37.764473","-122.472668"
"3800.0","37.74807","-122.447641"
"3800.0","37.74807","-122.447641"
"4295.0","37.763987","-122.444412"
"2950.0","37.7195","-122.4411"
"2900.0","37.76228","-122.4618"
"3895.0","37.7856","-122.4358"
"3895.0","37.79802","-122.42742"
"3100.0","37.751819","-122.414017"
"5028.0","37.783808","-122.398338"
"4400.0","37.768602","-122.426796"
"4645.0","37.753734","-122.431211"
"3400.0","37.76922","-122.44814"
"3250.0","37.74123","-122.438593"
"5025.0","37.768602","-122.426796"
"4650.0","37.7917","-122.4186"
"6000.0","37.777028","-122.393184"
"4630.0","37.779761","-122.392816"
