STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140514,0,-9999,0,311,178
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140515,0,-9999,0,239,133
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140516,0,-9999,0,183,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140517,0,-9999,0,161,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140518,0,-9999,0,172,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140519,0,-9999,0,167,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140520,0,-9999,0,178,117
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140521,0,-9999,0,194,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140522,0,-9999,0,183,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140523,0,-9999,0,172,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140524,0,-9999,0,167,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140525,0,-9999,0,211,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140526,0,-9999,0,194,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140527,0,-9999,0,183,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140528,0,-9999,0,194,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140529,0,-9999,0,222,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140530,0,-9999,0,144,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140531,0,-9999,0,178,100
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140601,0,-9999,0,178,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140602,0,-9999,0,156,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140603,0,-9999,0,172,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140604,0,-9999,0,194,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140605,0,-9999,0,167,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140606,0,-9999,0,172,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140607,0,-9999,0,189,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140608,0,-9999,0,256,106
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140609,0,-9999,0,206,133
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140610,0,-9999,0,178,128
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140611,0,-9999,0,178,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140612,0,-9999,0,167,111
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140613,0,-9999,0,211,122
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140614,0,-9999,0,239,122
